2025-12-24 22:34:01,493 - BinaryFileReader - INFO - Starting to read binary file: \data\customers.binary
2025-12-24 22:34:01,493 - BinaryFileReader - INFO - Record format: <i50s50s100s20s50s3s10s11s
2025-12-24 22:34:01,494 - BinaryFileReader - INFO - Record size: 298 bytes
2025-12-24 22:34:01,495 - BinaryFileReader - INFO - Error handling mode: skip
2025-12-24 22:34:01,495 - BinaryFileReader - ERROR - File integrity check failed: File does not exist: \data\customers.binary
2025-12-24 22:34:33,211 - BinaryFileReader - INFO - Starting to read binary file: \data\customers.binary
2025-12-24 22:34:33,212 - BinaryFileReader - INFO - Record format: <i50s50s100s20s50s3s10s11s
2025-12-24 22:34:33,212 - BinaryFileReader - INFO - Record size: 298 bytes
2025-12-24 22:34:33,216 - BinaryFileReader - INFO - Error handling mode: skip
2025-12-24 22:34:33,217 - BinaryFileReader - ERROR - File integrity check failed: File does not exist: \data\customers.binary
2025-12-24 22:37:27,194 - BinaryFileReader - INFO - Starting to read binary file: data\customers.binary
2025-12-24 22:37:27,195 - BinaryFileReader - INFO - Record format: <i50s50s100s20s50s3s10s11s
2025-12-24 22:37:27,195 - BinaryFileReader - INFO - Record size: 298 bytes
2025-12-24 22:37:27,196 - BinaryFileReader - INFO - Error handling mode: skip
2025-12-24 22:37:27,196 - BinaryFileReader - WARNING - File size (600000 bytes) is not a multiple of record size (298 bytes). 126 trailing bytes detected. Expected size: 599874 bytes. File may be truncated or corrupted.
2025-12-24 22:37:27,197 - BinaryFileReader - INFO - File size: 600,000 bytes
2025-12-24 22:37:27,197 - BinaryFileReader - INFO - Expected records: 2013
2025-12-24 22:37:27,198 - BinaryFileReader - WARNING - Record 178: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,200 - BinaryFileReader - WARNING - Record 179: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,201 - BinaryFileReader - WARNING - Record 180: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,201 - BinaryFileReader - WARNING - Record 181: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,202 - BinaryFileReader - WARNING - Record 182: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,203 - BinaryFileReader - WARNING - Record 183: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,204 - BinaryFileReader - WARNING - Record 184: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,205 - BinaryFileReader - WARNING - Record 185: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,206 - BinaryFileReader - WARNING - Record 186: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,206 - BinaryFileReader - WARNING - Record 187: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,207 - BinaryFileReader - WARNING - Record 188: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,207 - BinaryFileReader - WARNING - Record 189: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,208 - BinaryFileReader - WARNING - Record 190: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,208 - BinaryFileReader - WARNING - Record 191: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,209 - BinaryFileReader - WARNING - Record 192: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,210 - BinaryFileReader - WARNING - Record 193: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,211 - BinaryFileReader - WARNING - Record 194: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,212 - BinaryFileReader - WARNING - Record 195: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,212 - BinaryFileReader - WARNING - Record 196: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,212 - BinaryFileReader - WARNING - Record 197: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,213 - BinaryFileReader - WARNING - Record 198: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,213 - BinaryFileReader - WARNING - Record 199: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,214 - BinaryFileReader - WARNING - Record 200: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,214 - BinaryFileReader - WARNING - Record 201: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,214 - BinaryFileReader - WARNING - Record 202: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,216 - BinaryFileReader - WARNING - Record 478: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,217 - BinaryFileReader - WARNING - Record 479: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,217 - BinaryFileReader - WARNING - Record 480: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,217 - BinaryFileReader - WARNING - Record 481: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,218 - BinaryFileReader - WARNING - Record 482: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,218 - BinaryFileReader - WARNING - Record 483: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,219 - BinaryFileReader - WARNING - Record 484: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,219 - BinaryFileReader - WARNING - Record 485: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,220 - BinaryFileReader - WARNING - Record 486: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,220 - BinaryFileReader - WARNING - Record 487: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,221 - BinaryFileReader - WARNING - Record 488: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,221 - BinaryFileReader - WARNING - Record 489: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,222 - BinaryFileReader - WARNING - Record 490: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,222 - BinaryFileReader - WARNING - Record 491: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,223 - BinaryFileReader - WARNING - Record 492: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,223 - BinaryFileReader - WARNING - Record 493: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,224 - BinaryFileReader - WARNING - Record 494: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,224 - BinaryFileReader - WARNING - Record 495: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,225 - BinaryFileReader - WARNING - Record 496: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,225 - BinaryFileReader - WARNING - Record 497: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,226 - BinaryFileReader - WARNING - Record 498: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,227 - BinaryFileReader - WARNING - Record 499: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,227 - BinaryFileReader - WARNING - Record 500: Failed to decode with ascii, trying latin-1
2025-12-24 22:37:27,227 - BinaryFileReader - WARNING - Record 501: Failed to decode with ascii, trying latin-1
